2022-02-25 15:01:26,841 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:01:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:02:26,534 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:02:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:02:26,788 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:02:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:02:26,847 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:02:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:02:26,849 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:02:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:03:26,514 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:03:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:03:26,784 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:03:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:03:26,829 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:03:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:03:26,830 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:03:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:04:26,519 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:04:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:04:26,773 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:04:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:04:26,836 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:04:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:04:26,837 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:04:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:05:26,514 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:05:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:05:26,771 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:05:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:05:26,832 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:05:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:05:26,834 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:05:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:06:26,518 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:06:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:06:26,777 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:06:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:06:26,838 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:06:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:06:26,841 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:06:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:07:26,519 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:07:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:07:26,789 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:07:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:07:26,834 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:07:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:07:26,835 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:07:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:08:26,512 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:08:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:08:26,785 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:08:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:08:26,827 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:08:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:08:26,829 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:08:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:09:26,514 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:09:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:09:26,778 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:09:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:09:26,823 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:09:26] "POST /getDirection HTTP/1.1" 200 -
